brancher concentration,motor concentration,linker concentration,avalanche time,time,mean displacement,rg,shape,density,clique number,average clustering,mean closeness,mean betweenness,assortativity,avalanche,prediction
0.02,0.5,0.01,70,60,32.7207196122285,0.388858408729326,0.027355963438036,0.00149514468355,4,0.13697119341563802,0.0006238323504060001,6.12436799187714e-07,0.802585754392537,1,1
0.02,0.5,0.01,410,400,55.8252908619438,0.270786092116146,-0.0009218425971649999,0.001683583234556,5,0.203001041370822,0.000976930377514,3.5183777730243105e-06,0.80276920690353,1,1
0.02,0.5,0.01,650,640,27.3371201768718,0.30179288374814695,-0.0016029218358450002,0.001597388853635,5,0.18608781450419298,0.000805232114041,1.64596948423321e-06,0.786177228087057,1,1
0.02,0.5,0.01,1330,1320,30.8430584104231,0.33729120884823705,0.000533075297308,0.001562796534349,5,0.17688145597639002,0.0007356277194480002,1.02906080882366e-06,0.8117763790408971,1,1
0.02,0.5,0.01,900,890,29.5383946971427,0.334068709779425,-0.0016945702093960002,0.001558656478169,5,0.18400856389986803,0.000728465460497,1.1022825246149e-06,0.8163590464241449,1,1
0.02,0.5,0.01,370,360,28.0522359858718,0.29685921394923304,-0.008083658340862,0.0015564801147,5,0.174346324617661,0.000736476324275,1.09715265737462e-06,0.7819686236788841,1,1
0.02,0.5,0.01,600,590,52.7629037756308,0.310599985463268,0.000794927268915,0.00166598881869,5,0.22372238707550302,0.0009305568162769999,3.57059214276577e-06,0.799765882710173,1,1
0.02,0.5,0.01,250,240,29.274614905562803,0.3605175737025829,0.0013369274337750002,0.001501359470086,4,0.15414409978664,0.000632811295362,6.474267618707721e-07,0.818205970183993,1,1
0.02,0.5,0.01,630,620,22.043533012834303,0.320920210279039,0.000772007930711,0.0015396628192209999,5,0.177004919614905,0.0006833184861419998,7.250590723734591e-07,0.8112281607239,1,1
0.02,0.5,0.01,130,120,25.637947646827698,0.384815014087408,0.004391609150051,0.001496159758735,4,0.139284536762282,0.000626135001319,6.82039552275608e-07,0.804232178222467,1,1
0.02,0.5,0.01,850,840,22.4541020752746,0.32397870255729905,-0.003540277440206,0.001526461518453,5,0.16379963750206,0.000670166483117,7.02801670085052e-07,0.807672964344794,1,1
0.02,0.5,0.01,760,750,30.469009771324,0.34936942685130395,0.00017221045122399998,0.0015462619485550001,5,0.16754168730394597,0.000692178392381,7.946022714911341e-07,0.8068212666832281,1,1
