mean displacement,rg,shape,density,clique number,average clustering,mean closeness,mean betweenness,assortativity
24.571043258462897,0.334646393141029,0.002529160664207,0.0015430259525339,5,0.171061547148504,0.00071524013992,9.70627040083867e-07,0.802899884481768
16.4534038169268,0.3661118219671689,-0.008395112798227,0.001501700061168,4,0.137810945273632,0.0006155403152459,6.704088603129289e-07,0.8006466594303728
22.15459863891269,0.30341521891715,0.009311352714732,0.0015479282937129,5,0.179960610536681,0.000704207455368,1.11434864737063e-06,0.8159453470963609
25.6047126308459,0.298171941540957,0.042661685329837,0.001568828380423,4,0.180740740740741,0.000738639955846,8.637795107881859e-07,0.778567896948121
16.270709976269,0.3279245640049569,-0.002132288565341,0.001530311425041,4,0.153518794502401,0.000664175425131,8.86939334025807e-07,0.7959883180984899
24.3771130797093,0.306914507263421,0.013116713866972,0.001536943569504,6,0.168956043956044,0.000688488079765,1.26218847938388e-06,0.813957654233333
23.644004011155,0.327017688691023,0.01941453037812,0.001513070341974,5,0.163840972564482,0.000662200822894,1.03612109437325e-06,0.8035725995447829
25.253785686254695,0.326034829121441,0.003187490864864,0.001557550874826,5,0.175049212598425,0.000747669092472,1.39798141796224e-06,0.799860917817428
14.0558302041154,0.298983656044965,0.006291640171507,0.001551661593455,5,0.174916861246727,0.000700585629137,9.262653124947192e-07,0.8144878106587992
37.4977795587068,0.316371917956026,0.0171607680795789,0.0015635188116079,5,0.1686983812355469,0.0007226867266139,1.38220371232336e-06,0.807538785037287
41.856105283918296,0.3326670871484929,0.024295883206782,0.001554182904185,5,0.183441880220869,0.000716511825373,1.11312367381076e-06,0.82340477976637
33.0283123680767,0.348724057953621,0.0306156847080039,0.001562118815465,5,0.179325731284085,0.000732065567767,1.14578096889738e-06,0.8147418999930909
13.3523395566019,0.313706120478312,0.005717347833256,0.001516724155405,5,0.140476190476191,0.000653466506707,8.6095813232245e-07,0.8012583573197142
14.1500728167824,0.304614886037163,-0.000415083070161,0.001534304862026,5,0.163386348575215,0.000671932414103,1.04983257936959e-06,0.8111388321796359
21.7904555964326,0.337039801128186,-0.001490647837775,0.001528137859032,4,0.1722194841465419,0.000671180786459,1.00159171747212e-06,0.795467454621833
24.3922687154535,0.32356226112053,0.024115973276974,0.0015446074729489,5,0.179234167893962,0.000716793124028,1.19504909572355e-06,0.798728609060229
21.3782073343835,0.299161879414474,0.025656008440775,0.001566224758542,5,0.161766181635725,0.000705102834768,8.628126063312158e-07,0.818484335492792
30.8384416182454,0.31999191149509,-0.0021424508958479,0.001575263911656,5,0.18044889892716,0.0007680986011989,1.20784848193612e-06,0.7961456055770241
27.4335709745746,0.3436575862418739,0.00830483265289,0.00156702177402,5,0.1884848271491939,0.000742460579851,1.82693974034477e-06,0.7928642143749108
21.4444378538637,0.34032866844117,0.038099666390454,0.001530419223279,4,0.162429937355753,0.000665116297544,7.23228441755841e-07,0.8086793987585309
24.281836505737505,0.306914263440715,0.0010243038178889,0.001544367664802,4,0.166337611056268,0.000731194231781,1.40490512037216e-06,0.801275965786611
29.6790132866702,0.324747958380833,0.031735446629329,0.001543372906116,5,0.167228278823918,0.000690299223823,9.07901398061106e-07,0.8107782969180379
