,rg,mean_displacement,shape,density,clique_number,average_clustering,mean_closeness,mean_betweenness,assortativity
9638,0.3631339289408145,21.286631923857893,0.03672593946182915,0.0015487203968967726,4,0.07213772708069284,0.00032001409388570317,2.029636023107759e-07,0.9178183664203448
9639,0.36434688684129823,23.84275120217868,0.0405956001498858,0.0015136688887529815,4,0.06066370746142464,0.00028829287111719904,3.0195971857354234e-07,0.9053059759768524
9640,0.35932308873133706,24.763731184299694,0.039215721685968666,0.001482544582692195,4,0.0481317289423686,0.0002387137046010336,1.201216188432039e-07,0.929109783400947
9641,0.36087820738201504,23.63217314898047,0.04724898781269085,0.0014755652366834071,4,0.053227513227513235,0.00022676704475828188,8.975404608995922e-08,0.9305745836001188
9642,0.3602907652748439,27.341428110395583,0.05913482010292019,0.0014967698740460105,4,0.05614035087719297,0.0002547058285506496,1.4101672136429385e-07,0.9117337124786292
9643,0.35869018528752045,20.377579453663284,0.060080707575436335,0.0014870812323133536,4,0.05379746835443038,0.00025230667456958123,1.7069588720147538e-07,0.9109973623044584
9644,0.3598129730576696,22.523765435074072,0.07164791509560932,0.0014940691322423974,4,0.05809040980143641,0.00025344814414138755,1.5451751633207307e-07,0.9141101443397394
9645,0.3606003807163057,21.423685540268806,0.07033183020833599,0.0014913740306670806,3,0.05615368376609668,0.00025481983738159737,1.191036390224988e-07,0.88957976449771
9646,0.36075048797930426,22.755048767410223,0.07712739754675157,0.0014983793040181028,4,0.05850771507080955,0.00026241058172025067,3.61738546108406e-07,0.9144181396578428
9647,0.3575202553542657,26.52615443733506,0.07730933425637038,0.0014651838685658012,4,0.04764916719375923,0.00021598432774663168,5.374830513466535e-08,0.9305297051505628
9648,0.359821512440753,20.41267141929285,0.07119569178430007,0.0014623359522734955,3,0.04852723034541217,0.00020894418550967617,7.259248423815607e-08,0.937127628145155
9649,0.3589415698996224,24.572000494596047,0.09742640850762303,0.0014774552311099362,4,0.055380080016845655,0.00023018103091983842,7.071943257103478e-08,0.9455986842950592
9650,0.359855513584816,19.23667316974594,0.1088418177278608,0.0015082302495282266,4,0.06058686932657799,0.00026746636178089545,1.4811606391259467e-07,0.9378555437160504
9651,0.3604536969145121,17.714234764399713,0.11364249369811236,0.0014680525340423818,3,0.05287648054145516,0.00021474990510523504,5.016658890845386e-08,0.9319863025412444
9652,0.3603597591320203,22.36734150647704,0.12270424892372965,0.0014753204888945614,4,0.05404264302301035,0.00022754850607351323,7.125858744935822e-08,0.9369745143920096
9653,0.36030203592433613,22.46704130632777,0.12481024480261595,0.0014881959552010314,3,0.05266497461928933,0.0002415664269842465,1.3667835957711407e-07,0.9329003209446785
9654,0.3603373200636759,19.32355272406617,0.13095402030009573,0.0014801365514263169,4,0.050221659278024064,0.0002456854863759415,1.7000263005775465e-07,0.90845291513772
9655,0.3581312140524338,26.20727480025166,0.10513282181398544,0.0014911368691436866,3,0.04745296977383217,0.0002532859509766399,2.0386112979838133e-07,0.9090352869597008
9656,0.3495556202389754,29.190126333251463,0.10735567042127132,0.001505621738892519,4,0.05869794969351087,0.0002726731540075724,1.8342392380355612e-07,0.9116732391427969
9657,0.3448485305219539,24.663435145855345,0.1081723718427645,0.0015288114398660775,3,0.057566137566137536,0.00030417475516323977,2.887515882779831e-07,0.9008691293490028
9658,0.3429709776568564,24.409355419219608,0.08543879422401933,0.0015300942712110225,4,0.06038494077834178,0.0002989562386241512,2.4008296120474344e-07,0.8925682706591909
9659,0.3418386687488857,21.191526559189327,0.0762978927735319,0.0015021883382747426,3,0.05227513227513226,0.00026863521099931853,2.687492580065065e-07,0.8929225730891105
9660,0.33929839817873764,21.224391355651203,0.06869087184437841,0.001520106608641351,4,0.056774466286197416,0.00030238234863444035,2.9378483617561226e-07,0.8856943184727121
9661,0.34092340244753755,20.84386789295604,0.07320814425904587,0.0015217048852084367,5,0.07071217867678044,0.00030047307827026423,3.4111000373510387e-07,0.9121228969865623
9662,0.3424455255779233,20.379703283740607,0.07230921516306693,0.0014986705342035292,4,0.05520304568527919,0.00025701036905217864,1.9554731594927933e-07,0.9237931305763004
9663,0.3467865187814652,29.325003868866034,0.08289891830358298,0.001515278318725074,4,0.05248361868526739,0.00028005975655443415,1.5174625451157707e-07,0.9159995158983972
9664,0.3463321045677382,29.24687780706155,0.07766371053178489,0.0015329820484180914,4,0.0589727330374128,0.0003087085752473009,3.162657627699198e-07,0.9051033048510324
9665,0.3421580122131144,25.637898191715788,0.0589064946698892,0.001547916701828326,4,0.058935361216730035,0.00033092535866228664,2.682383286820807e-07,0.8862554289792055
9666,0.3450400898994448,25.887235982676696,0.06727549613827008,0.00153150788509838,4,0.04897614523960312,0.0003228844319176857,5.298584966770139e-07,0.8867397685430723
9667,0.3458809012670171,29.784843277727184,0.06960998930967857,0.0015410291982785535,4,0.05859226379201015,0.00032798952857544247,3.964817962996089e-07,0.8955952467464378
9668,0.3435249022594919,23.016688977723646,0.04473556968698617,0.0015279659454389494,4,0.05696202531645569,0.00030388600306630216,2.0219334257793808e-07,0.8913679106670617
9669,0.34485371890910244,22.28014970535761,0.03765527400060921,0.0015313726184459989,4,0.056859015007398025,0.0003061679961121573,2.6312902718337445e-07,0.8983935413449887
9670,0.3446576903028016,21.37108195470556,0.035084849885209615,0.0015099508500523726,3,0.055414551607445,0.000270616464964168,1.3463074370329964e-07,0.9087619146874848
9671,0.34312371214182075,23.470055144333113,0.03867141901124268,0.0015083393763596807,3,0.05264382402707276,0.0002745179976331828,2.0220206753917629e-07,0.9074143854371078
9672,0.3448230919209723,22.342639644907308,0.06298209931666221,0.001524759301272236,4,0.0659915611814346,0.00029633198005499624,1.6815576983240574e-07,0.9058824914791564
9673,0.3477664967302215,22.347473224096923,0.07443929573785726,0.00153539619337623,6,0.05971253434791799,0.00030558872827331083,2.2480926594307719e-07,0.9228163383919256
9674,0.3490245593237229,21.55826719479626,0.08140607789228202,0.0015342538856647325,6,0.05766793409378961,0.00030517458775298513,2.254017895009119e-07,0.91556091676719
9675,0.3479531832839384,20.960751273397406,0.07429393272187898,0.0015636149686434194,5,0.06508338610935191,0.00035221810183148547,3.690176850056052e-07,0.9000452966933428
9676,0.3480045541666831,21.224707072222067,0.07631034545843188,0.001557489323986786,4,0.06588409475465312,0.00033547944493460887,2.56463888195259e-07,0.9018718081693288
