,Time,rg,mean_displacement,shape,density,clique_number,average_clustering,mean_closeness,mean_betweenness,assortativity
0,10.00036902,0.4330576174353781,0.0,-0.0004755411709848596,0.001424058125363969,6,0.5142173276611358,0.0018107122750070192,0.00013210121841208405,0.5325054142593292
1,20.00082754,0.433141064298076,3.668079675594258,-0.0002992287423777279,0.0014140734207752836,6,0.5156693235234048,0.0017728339897444133,0.00012179039527067379,0.5478229283372232
2,30.00126534,0.43343341908614696,3.187459491063467,-0.00047409444936247273,0.0014075734035926771,5,0.5210691232687894,0.0017430568097439494,0.00011527938188191833,0.5245321144873643
3,40.00171291,0.4326133837610135,2.855546370531817,-0.0003446353672047187,0.001405994603773126,6,0.5239727585330353,0.0017537691102926152,0.00011444248587643857,0.5460230779232487
4,50.00221913,0.43386633456194656,2.757241031828807,-0.00045131601155366173,0.0014070392278598767,5,0.5312604807154895,0.0017722556666790402,0.0001339075915652936,0.5166256462272548
5,60.00272237,0.4323449058438549,2.6021336820710066,-0.0006217606923694789,0.0014104106883890278,5,0.5366829319897962,0.001861183982868797,0.00016218502623169785,0.5135872793347598
6,70.00320377,0.4319671917975079,2.5894467343485768,-0.0002485196765250623,0.0014101608258483458,6,0.5451032250424417,0.0018608689373729203,0.00016477463087552895,0.522316035774249
7,80.00368386,0.4327261938829445,2.536201691783933,-0.00042028574886491144,0.0014093654062783249,6,0.5488133258595963,0.0018404119152401791,0.0001506777446510729,0.5287624626453742
8,90.0041122,0.4318966064713638,2.315091896563933,-0.0002875738478217648,0.001407884361620373,6,0.553022553651148,0.0018796277545330838,0.00014737759367085645,0.5198585974848343
9,100.0045995,0.4320110047426741,2.3650648282017053,-0.00017818622131357314,0.0014031187576519105,5,0.5606898062255286,0.0018872044558360737,0.00013003484626267578,0.5091898940389189
10,110.0050857,0.43240161012087686,2.2769107061024663,-0.00047224327357400043,0.0014006721561957503,6,0.5640867702196097,0.0019680286723278186,0.0001789498852929361,0.4946752290180322
11,120.0055194,0.4322537550757507,2.2161175146714656,-0.0003481106127325695,0.001405479161471009,6,0.5663703222188293,0.0019470985370923508,0.00017130310836593524,0.514789153276803
12,130.0060085,0.43187343720057814,2.2065186079190946,-0.0003092213477899346,0.0014117520796655182,6,0.5709454704246444,0.001937343855972184,0.00015475206722545602,0.5158731459259397
13,140.0064858,0.4320691833585834,2.159328064256564,-0.0003225070564809102,0.0014108351341218562,6,0.5710013675604548,0.002009551189535973,0.0001823628580935666,0.5212778887606057
14,150.0069956,0.4314573928601398,2.0985764180698987,-0.00029717563908654903,0.001409934682097146,6,0.5735000485865591,0.001962187340024305,0.00016186842210527504,0.5033403737976144
15,160.0074325,0.43149161528566043,2.1497025223345916,-0.00040848592888141253,0.0014090222765176482,6,0.5737104486509447,0.001987970326609777,0.00017300226546202948,0.5218672883435623
16,170.0079444,0.4316774706756102,2.109438629125507,-0.00042115628948124746,0.0014082320218772643,6,0.5820200003348764,0.0020403184294942728,0.00018728294547728795,0.49674884046736956
17,180.0084435,0.4308712732723899,2.068313232580696,-0.00039429253104875946,0.001412901174664129,6,0.5801315503370327,0.0020090797420781814,0.0001523766575666648,0.5094872349371925
18,190.0089491,0.431373209237057,2.0094348206923955,-0.00021259547024694207,0.0014113725014393238,7,0.5776916790707215,0.0020130249938816592,0.00015829961303967684,0.5245844468403217
19,200.009417,0.4311667777337331,2.004989141728565,-0.0005243459065399729,0.0014113368457851268,7,0.5765755167594888,0.002087600052875502,0.0002100520966028771,0.5193315865410141
20,210.0099754,0.4308823466022851,1.9991158466170216,-0.0003493981393524758,0.0014077741220203015,6,0.5823135771123245,0.0020020834296444134,0.00015832276082781743,0.4870279895003106
21,220.0104135,0.4308341057739903,1.985700391167622,-0.00042789017993955723,0.0014112166124422767,6,0.5791280013618533,0.002050015319312261,0.0001722865978320747,0.4857100517821594
22,230.0109072,0.43138190835582046,1.8784241300808828,-0.00038198252132873024,0.0014114550549042693,7,0.5791763907509497,0.0020773741177009873,0.00019303600249874207,0.4867361192988648
23,240.0114133,0.4309558994844398,1.859673048715963,-0.0005282833191914012,0.001411579015881281,7,0.5835550431228654,0.0020799798054802927,0.00018033194881853675,0.5011227043798072
24,250.011994,0.4308108320827867,1.9384684393424068,-0.0003826928662379237,0.0014096244511633096,6,0.5873610801252678,0.002034333497121984,0.00016597219125788894,0.4816720944966945
